Keyword,Publication Count
stress,4
anaerobic digestion,4
chra,4
life cycle assessment,4
fruit peel,4
macroalgae,3
bast fiber nonwoven,3
kenaf,3
bioeconomy,3
rheological properties,3
oil palm empty fruit bunch,3
antimicrobial innovation,3
mangrove marine pollution,3
solubility,3
solvent-free,3
monoglycerides,3
sodium alginate,3
sampling,3
crude glycerol,3
microencapsulation,3
river,3
kombucha,3
ceramic coating,3
phytochemicals,3
dental caries,3
bacteriocin-like inhibitory substance,3
supercritical co2,3
aquaculture,3
monsoonal transport,3
burkholderia ambifaria strain e5-3,3
potassium sorbate,3
fed-batch fermentation,3
seaweed biopolymer,3
barrier properties,3
membrane,3
human papillomavirus,3
lignin,3
applications,3
blend films,3
motion planning,3
photocatalyst,3
water resource aquatic toxicology,3
inhibitor tolerance,3
landfill leachate,3
safe clean water source,3
stability,3
chemical composition,3
environmental issues,3
biodegradable,3
protein quality,3
prebiotic,3
biodiesel-derived crude glycerol,3
green products,3
ultrasonic-assisted extraction,3
emerging pollutants,3
ethanol,3
hemicellulose,3
spectroscopy characterization,3
growth,3
humic acid,3
heavy metal,3
southeast asian catchments,3
pectinase,3
urban runoff,3
tropical oysters,3
water resistant,3
cancer,3
palm oil empty fruit bunch,3
freeze–thaw,3
oil palm leaf,3
eco-friendly,3
refrigerated beef,3
energy consumption,3
biogas,3
solid waste,3
functionalization,3
microbial fuel cells,3
superheated steam,3
sustainable,3
raman spectroscopy,3
starch,3
saccharomyces cerevisiae,3
heavy metals,3
anticancer,3
metal oxide,3
carbon sequestration,3
circularity,3
inhibitory activity,3
microemulsion formulation,3
ecological risk,3
particles size,3
chemical modification,3
wound healing,3
chemometrics,3
sodium reduction,3
microbial fuel cell,3
aquatic organisms,3
shucking,3
muscle release,3
meat detachments,3
food waste,3
synergism,3
rheology,3
composite materials,3
advanced oxidation process,3
rice husk-derived silica nanoparticles,3
ionic liquid-based aqueous two-phase system,3
interfacial interactions,3
teaching professionals,3
poisoning,3
ultra-violet curable resin,3
waste,3
drug delivery,3
aware model,3
complexation,3
lentil proteins,3
nanoparticles,3
workplace safety and health,3
work-related musculoskeletal disorder,3
textural,3
lignocellulose,3
occupational ergonomics,3
optimisation,3
adult learners,3
recycling waste,3
coffee waste,3
milk fortification,3
bio-binder,3
functional food,3
recycling,3
essential oil encapsulation,3
anhydride ratio,3
poison reagent,3
green material,3
wrf model,3
biodegradable nanocomposites,3
algae,3
sugar palm fiber,3
climate,3
climate variability,3
modulus,3
ulva lactuca,3
bias correction,3
blended bioplastic,3
parameterization,3
household chemical products,3
meat quality,3
kinetics & thermodynamics,3
green materials,3
malaysia national poison center,3
itaconic anhydride,3
bio-coated fertiliser,3
goat manure,3
saccharum officinarum l,3
zea mays l,3
broiler chickens,3
fermented foods,3
chlamydomonas reinhardtii,3
feed conversion ratio,3
nanotechnology,3
stimulating learning,3
gasification,3
biodegradable packaging,3
rice husk silica nanoparticles,3
natural resources,3
bio-nanocomposites,3
riverbank filtration (rbf),3
ammonia reduction,3
anova,3
central composite design (ccd),3
liquid phase,3
sustainable health,3
thermal stability,3
in-situ pumping test,3
membrane bioreactor,3
oral pathogen,3
phbv,3
barrier performance,3
biopolymer nanocomposites,3
kappaphycus alvarezii,3
seaweed biomass,3
drinking water,3
aquifer stability and characteristics,3
hybrid composites,3
response surface methodology (rsm),3
skin care,3
rates of detachment,3
syngas,3
seaweed films,3
water-energy nexus,3
phbv biocomposites,3
hydrochemical characterization,3
additive manufacturing,3
environmental impact assessment,3
agricultural water management,3
active packaging,3
rates of attachment,3
paddy irrigation,3
technical lignin,3
lignin utilization,3
nanofibers,3
lignin properties,3
aquifer characteristics,3
plant-based milk,3
succinic anhydride,3
char,3
lignin extraction,3
patchouli waste fiber,3
edible coating,2
oxidative stability,2
naltrexone,2
injectable hydrogel,2
mutagenicity,2
white salted noodles,2
cocoa rind,2
metabolome,2
microbial identification,2
symbiosis,2
lightness,2
short-chain fatty acids,2
ph,2
sodium-free,2
natural antioxidant,2
molasses,2
aqueous two-phase system,2
remote sensing,2
biocompatibility,2
antimicrobial activity,2
interactions,2
silver nanoparticles,2
shelf-life extension,2
catalyst,2
plastic,2
sustained release,2
clean fermentation,2
toxic waste,2
rho gtpases,2
stress resistance,2
mobile robot,2
aspergillus flavus,2
moisture,2
methylene blue,2
food innovation,2
microparticle,2
migratory locust,2
willingness to consume,2
flour,2
scco2 extraction,2
differential drive,2
oil palm fruits,2
kinetic study,2
water activity,2
syneresis,2
pineapple jam,2
human health,2
aspergillus niger,2
yeast fermentation,2
quality attributes,2
fermented rice noodles,2
sensoryu evaluation,2
noodles,2
virgin palm oil,2
bionanocomposites,2
biodegradability,2
biopolymer composites,2
bibliometric analysis,2
lactobacillus,2
essential oils,2
chilli,2
natural deep eutectic solvents,2
hydrocarbon,2
stringiness,2
seed germination,2
biodiesel feedstock,2
environmental footprint,2
lipid productivity,2
nanofluid,2
metal oxide nanoparticles,2
hybrid nanocomposites,2
vitamin d3,2
glycerol,2
spillway,2
resistivity,2
groundwater,2
sodium carboxymethyl nanocellulose,2
deep eutectic solvent,2
refinery oily sludge,2
t-2 toxin degradation,2
sensory evaluation,2
food waste digestate,2
quality,2
lettuce,2
non-woven bast,2
photocatalytic degradation,2
microbiological quality,2
magnesium starch nanomaterial,2
controlled release,2
industrial revolution,2
mendelian randomization,2
immune infiltration,2
immune cells,2
immunological disorders,2
shelf-life,2
stretchability,2
fruit drink,2
imitation cheese,2
extensibility,2
sodium bisulphite,2
refrigerated salmon,2
sodium bisulfite,2
synergy,2
immunomodulation,2
strait of malacca,2
microbial fuel cell (mfc),2
hplc,2
energy,2
treatment,2
cytochrome p450 (cyp61),2
metagenomic analysis,2
plant-based proteins,2
microbial consortium,2
phenolic compound,2
drosophila melanogaster,2
theobroma cocoa l,2
bioactive ingredient,2
free radical,2
microcapsule,2
nutraceutical,2
antibiotics,2
antimicrobial stewardship program (asp),2
healthcare professionals,2
non-governmental organisation (ngo),2
public awareness,2
salt substitutes,2
soil remediation,2
sweet thai chili sauce,2
microbiology,2
structural integrity weakening,2
degree of substitution,2
pyridoxal 5′-phosphate,2
surface-modified tapioca starches,2
heterotrophic microbes,2
ndvi,2
water quality,2
mango,2
rice husk,2
nanocomposite,2
trophic level,2
cao,2
tropical freshwater,2
environmental bioprocess,2
acetic acid,2
organic rankine cycle,2
leachate,2
bioreactor,2
biocomposite films,2
intelligent packaging,2
metals,2
techno-economic analysis,2
electricity generation,2
persian gum,2
food sector,2
arima,2
stable isotope signatures,2
food items,2
algae biomass,2
acetylation,2
clostridium butyricum,2
additives,2
green extraction,2
tocotrienol,2
phytoremediation,2
pullulan,2
efficiency,2
extremophile,2
carbohydrate,2
biofixation,2
landsat-7,2
pectin,2
butyric acid,2
emulsion electrospinning,2
modis,2
diuron,2
meat,2
microbial plastic degradation,2
theoretical calculation,2
starch carrier,2
starch modification,2
porous starch,2
cellulolytic ability,2
acetyl groups,2
zein,2
consortia,2
lignocellulose biomass,2
membraneless microbial fuel cell,2
microcapsules,2
lactobacillus plantarum,2
facebook prophet,2
texture profile analysis (tpa),2
health care,2
oil pam empty fruit bunch pulp,2
salmon,2
blue carbon,2
scenedesmussp,2
phycoremediation agent,2
leachate treatment,2
heavy metal removal,2
batch and continuous modes,2
soil nutrient retention,2
nutrient release modelling,2
microbial biopolymer coating,2
controlled-release fertilizer,2
alginate composite,2
radiata pine pulp,2
landgem,2
adhesion,2
whey proteins,2
extracted lignin,2
water kefir grains,2
thermodynamic modelling,2
insect phobia scale,2
food neophobia scale,2
natural fibers,2
thermoplastic elastomer,2
3d x-ray imaging,2
cellulose nanofibers,2
malaysian,2
extracted residue,2
patchouli,2
autoclave fibre cement composite,2
amphiphobic surfaces,2
immobilized pectinase,2
microbial,2
alginate beads,2
lactic acid,2
mangrove coastal management,2
freshwater ecosystem,2
neural prophet,2
biomonitoring,2
biological indicators,2
time-series analysis,2
silver,2
catalytic decarboxylation reaction,2
synbiotics,2
amino acid,2
bacillus species,2
metabolomics,2
canned dodol,2
primer coating,2
epoxy,2
wax–polymer interactions,2
polymer coatings,2
chitosan-based emulsions,2
cellulose surface modification,2
aermod,2
bio-based polymers,2
algae cultivation,2
flavonoids,2
sensory properties,2
physical,2
curdlan,2
adipokines,2
polyethylene terephthalate,2
microplastic,2
water and food security,2
natural coagulant,2
carbon neutrality,2
materials science engineering,2
environmental pollution,2
keratin,2
collagen,2
fertilizer,2
industrial effluent,2
pretreatment optimization,2
materials chemistry,2
bacteriocin purification,2
adulteration,2
wastewater irrigation,2
social rights,2
stakeholder engagement,2
socio-economic factors,2
paraquat,2
economic value,2
kapok fibre,2
arsenic,2
environmental assessment,2
fluoride,2
remediation technologie,2
composition retention,2
malaysia,2
probiotic-derived antimicrobial,2
water pollution,2
oral health therapeutics,2
sustainable utilization,2
chemo-mechanical pretreatment,2
chemical mixture,2
nuf and wlp residue,2
uvi,2
dicalcium phosphate dihydrate,2
bioflavonoid,2
wound healing properties,2
physicochemical evaluations,2
climate change effects,2
groundwater development and management,2
kinetics,2
recharging and discharging,2
flavonoid,2
water scarcity,2
environmental challenges,2
β-glucan,2
policies,2
scenedesmus parvus algae,2
rare earth elements,2
thorium extraction methods,2
health benefit,2
oil palm (elaeis guineensis jacq.) leaf,2
enrichment,2
coumarin,2
kopsia teoi,2
polyunsaturated fatty acids,2
cockle shell,2
peg-based aqueous two-phase system,2
co-fermentation time,2
pretreatment sequence,2
eichhornia crassipes,2
soil organic carbon,2
food waste compost,2
omi/aura,2
biocompatible,2
ganoderma lucidum,2
bacterial-cellulose,2
ecological services,2
enzymolysis,2
flow battery,2
deposition,2
manganese,2
reversibility,2
antibiofilm,2
efflux pump inhibitors,2
multidrug-resistant (mdr) bacteria,2
biomass alteration,2
yeast extract,2
acceptable daily intake,2
waste generated,2
staphylococcus aureus,2
deep neural network,2
cell wall,2
total soluble solids,2
correlation model,2
terpenes delivery system,2
algal immobilization,2
cosmetic applications,2
instrumental analysis,2
terpenes,2
electrolyte engineering,2
crystallinity index,2
tapioca powder,2
willingness to participate,2
toluene,2
cacl2,2
soil carbon sequestration,2
rice starch,2
salt-gelatinization,2
regenartive farming,2
paddy production,2
integrated weed management,2
farmers,2
climate change impact,2
oil-palm plantations,2
thermochemical,2
soil quality rehabilitation,2
oil palm management practices,2
regenerative farming,2
livestock integration strategies,2
integrated crop-livestock,2
uv light,2
marine algae,2
earthworm abundance,2
benzene,2
blood purification,2
net greenhouse gas emissions,2
watershed management,2
organic waste treatment,2
tourism products,2
carboxyl groups,2
adsorbent,2
zinc oxide,2
phenol,2
waste disposal sites,2
composite aerogels,2
organic waste management,2
low-grade chronic inflammation,2
rainfall prediction model,2
synthesis and processing techniques,2
cellulose and other wood products,2
methane,2
hygroscopicity,2
slow-release fertilizers,2
papaya powder,2
superheated steam drying,2
biological hazard,2
sustainable fuel,2
rsm,2
biomass feedstock,2
surface modification,2
particulate matter,2
ternary blend,2
patchouli lignin,2
marble,2
desiccant,2
calcium chloride,2
wind tunnel experiment,2
tropical climate,2
canopy layer,2
kinetics and thermodynamics,2
camelus dromedaries,2
bioresources,2
waste frying oil (wfo),2
physical treatment,2
scanning electron microscopy,2
biofuels,2
nutrient delivery,2
autohydrolysis,2
dissolving pulp,2
non-wood biomass,2
physical hazard,2
carboxymethylation reaction,2
banana peel,2
obesity,2
wettability,2
sugar palm fibre,2
interfacial adhesion,2
bonding,2
alkaline treatment,2
isolation process,2
microemulsion,2
soy milk,2
food policy,2
food processing,2
oil and gas,2
soda pulping,2
occupational safety and health,2
chemical hazard,2
antioxidant activities,2
safety,2
bacteriocins,2
vaginal health,2
vaginal microbiota,2
hpv-positive women,2
fungal,2
bacterial,2
trimetallic nanoparticles,2
randomized controlled trial,2
bifidobacterium,2
diabetes,2
toddlers,2
multiple linear regression,2
bone remodelling,2
electrochemical performance,2
stiffness,2
stacking sequence,2
ul-94,2
anthropogenic activities,2
thermal conductivity,2
heavy metals contamination,2
dumpsites,2
acid hydrolysis,2
pullulanase,2
starch nanocrystal,2
starch nanoparticle,2
β-tcp scaffold,2
phytochemical,2
baseline,2
bioactive compound,2
saccharification,2
watermelon rinds,2
anti-inflammatory,2
oxidative stress,2
hyperglycemia,2
human renal tubular epithelial cells,2
fibrosis,2
tetraselmis suecica,2
secondary metabolites,2
photobioreactor,2
nutrient supplementation,2
bioactivities,2
therapeutic potential,2
enzymatic analysis,2
environmental health,2
bio-composite,2
separation,2
biomass lipid,2
freshwater,2
chlorella vulgaris cultivation,2
bioenergy,2
film,2
china,2
bioproduct,2
moisture absorption,2
desiccant paper,2
dehumidification,2
rubber wood sawdust,2
pleurotus ostreatus,2
mycelium,2
polymeric material,2
feedstock,2
k-fold cross-validation,2
citric acid,2
renewable resources,2
industrial waste management,2
biomass processing,2
plastic pollution mitigation,2
cost,2
gamma,2
support vector machine,2
beris lalang,2
knowledge-attitude-practice (kap) model,2
lignin nanoparticles,1
functional foods,1
kappa-carrageenan,1
sustainable engineering materials,1
mechanical,1
bioactive peptides,1
micro-perforated panel (mpp),1
diabetes management,1
crop resilience,1
tilapia,1
kinetic model,1
gc-ms,1
chemical evaluation,1
fish fillet,1
polysaccharide,1
bio-composite materials,1
microbial evaluation,1
loquat (eriobotrya japonica),1
mechanical systems noise control,1
algae-derived peptides,1
acoustic absorption,1
thermoplastic polyurethane,1
extrusion,1
functional properties,1
chitosan films,1
industrial feasibility,1
oat processing advancements,1
sustainable food processing,1
crayfish,1
antimicrobial peptides,1
bioactive functionalities,1
hypoglycaemic activity,1
zhenghe white tea,1
corrosion,1
density functional theory,1
microcrystalline cellulose,1
carbon black,1
conductive ink,1
graphite,1
polyester,1
self-healing,1
chicken fillets,1
gelatin film,1
eggplant anthocyanins,1
suspension stability,1
soy protein isolate,1
thermal processing,1
food spoilage indicator,1
ph-sensitive indicator,1
active film,1
nano-tio2,1
penganum harmala,1
artocarpus altilis,1
composite flour muffins,1
mineral enrichment,1
physicochemical characterisation,1
biopolymer compatibility,1
microbial spoilage,1
mrsa,1
plant bioactive compounds,1
acrylamide,1
salmonella,1
activation,1
vosviewer,1
jujube (ziziphus jujuba) extract,1
stabilizers,1
oliveria decumbens,1
gellan gum,1
pharmaceutical applications,1
anthocyanins,1
fish spoilage indicator,1
ph-responsive packaging,1
pomegranate flower extract,1
microcrystalline cellulose (mccs),1
oil palm empty fruit bunches (opefb),1
chicken meat,1
gas chromatography,1
immersion coating,1
lipid oxidation,1
biodegradable film,1
native biopolymers,1
food coating,1
capsules and beads,1
enzyme-like activity,1
polysaccharide stabilization,1
strawberry preservation,1
basil seed beverage,1
flour composite,1
biomedical applications,1
mechanism,1
natural polymer,1
smart farming,1
adaptogen,1
degradation kinetics,1
characteristics,1
biomolecules,1
nano-functional,1
commercialization,1
edible films,1
manufacturing conditions,1
optimization strategies,1
scale-up,1
atm protein,1
dna damage,1
mrn complex,1
efb,1
rad50 gene,1
dna repair,1
human,1
in-silico,1
roles,1
coating,1
rehydration kinetics,1
palm kernel oil,1
non-diabetic,1
biosensors,1
diabetic,1
mushrooms,1
ixora coccinea curtis flower,1
agro-waste,1
fermented tea,1
healthy beverage,1
polyphenol,1
macroporous polymeric resin,1
total flavonoid,1
precision herbal medicine,1
commodity crop,1
phytocompound,1
coconut oil,1
cognitive health,1
encapsulation technology,1
extraction and purification,1
medium-chain triglycerides (mcts),1
rad50,1
environmental application,1
spent coffee,1
characterisation,1
pellet,1
academic misconduct,1
nation building,1
plagiarism,1
talent,1
hard capsule,1
nano-rhizosphere,1
molecular weight,1
ultrasound-assisted extraction,1
structure–activity relationships,1
sustainable resources,1
carbohydrate valorization,1
cellulase,1
fat substitution,1
pumpkin–carrot matrix,1
glucono-delta-lactone (gdl),1
oat rice,1
quick-cooking cereals,1
computational technology,1
logging residues,1
fuel-blending,1
fuel,1
xhr fesem,1
gel strength,1
gelatine,1
danio rerio,1
dioxydanyl radical,1
delamination,1
alkaline peroxide,1
pyrogenic minerals,1
silica,1
education systems,1
forest biomass,1
heis,1
higher education institutions,1
innovative education models,1
national needs-to-skill alignment,1
reskilling,1
talent development,1
upskilling,1
briquette,1
biomarker,1
hybrid films,1
expression,1
compound,1
controlled biodegradation,1
mechanical strength,1
methyl orange degradation,1
nano-zno/tio2 photocatalyst,1
visible light photocatalysis,1
bio-based composites,1
flame retardance,1
cellulose nanofibrils,1
electromagnetic interference shielding,1
third oil generation,1
mxene,1
chitin,1
degree of deacetylation,1
polyhydroxybutyrate (phb),1
naoh/urea,1
regeneration,1
tempo-oxidation,1
bioresource-based products,1
interfacial tension,1
water absorption,1
bioengineering,1
surfactant,1
medical,1
fe3+ doped nano-zno/tio2 composite,1
resin moulding methods,1
resole,1
chemical interactions,1
retraction force,1
swelling capacity,1
etching effect,1
nitrogen plasma,1
plasma treatment,1
alternatives,1
phenolic resins,1
biotechnology,1
nutrients,1
"2,2,6,6-tetramethylpiperidine-1-oxyl radical",1
bioresource based products,1
cellulose solubility,1
crystallinity,1
dissolution,1
hydroxyapatite,1
shrinkage,1
composite,1
prognosis,1
guided tissue regeneration (gtr),1
gene delivery,1
oral ulcers,1
nitrocompounds,1
dyes,1
healing,1
edible bird’s nest (ebn),1
impurity segmentation,1
intensity inhomogeneity (iih),1
β-variational autoencoder (β-vae),1
dominant strains,1
sensory quality,1
synthetic consortia,1
natural preservatives,1
protein extraction,1
shrimp preservation,1
total viable count,1
cheese,1
mozzarella cheese,1
quorum sensing,1
non-absorbable,1
guided bone regeneration (gbr),1
hydrophilicity,1
absorbable,1
calcination method,1
storage period,1
advancements application,1
attractive toxic sugar bait (atsb),1
antimicrobial resistance,1
calcofluor white,1
candida auris,1
candidemia,1
adhesives,1
hydrogels,1
solid surfaces,1
toughness,1
mesenchymal stem cell derived exosomes,1
antifungal activity,1
mucoadhesive hydrogel,1
core-shell,1
electrospinning,1
magnetoelectric,1
disulfiram,1
germanium oxide,1
goat hair,1
boron oxide,1
zataria multiflora boiss,1
sodium metabisulfite,1
spirulina,1
natural preservative,1
rosa damascene,1
steam distillation,1
frozen burger preservation,1
microbial load reduction,1
oxidation stability,1
plant extract nanoemulsions,1
food packaging,1
protein-based coatings,1
food industry,1
homogenization,1
saffron,1
ultrasonic,1
cdc42,1
syzygium aromaticum,1
urban air quality,1
quantity,1
pseudomonas aeruginosa,1
tarragon,1
drug pollution,1
potato strips,1
signaling,1
april,1
baff,1
cancer oncology,1
receptors,1
n-feruloyltyramine,1
nsp1,1
piper sarmentosum roxb,1
sars-cov-2,1
immunostimulation,1
immunosuppression,1
traditional plants,1
antimicrobial agents,1
e. alte,1
computational biology,1
small g-protein,1
primary immunodeficiency,1
in silico,1
oil uptake,1
anomaly detection,1
waste biomass,1
water remediation,1
wetland plants,1
recycle natural materials,1
adsorption efficiency,1
langmuir equilibrium model,1
reactive dyes,1
control region,1
kedayan,1
mtdna,1
population data,1
hazards,1
mechanisms,1
paraquat herbicide,1
"2,4-d",1
contaminated water,1
mesoporous biochar,1
"2,4-dichlorophenoxyacetic acid",1
modified biochar,1
banana peels,1
green modification,1
river water,1
natural fiber,1
phacs,1
pharmacologically active compounds,1
environmental pollutants,1
pollutants,1
biosolids,1
sewage sludge,1
hospital wastewater,1
nanofiltration,1
pharmaceutical residue,1
plant-based coagulant,1
sewage treatment plant,1
paddy,1
banana wastes,1
translocation,1
water reuse,1
municipal wastewater,1
pharmaceuticals,1
ganoderma neo-japonicum,1
hormone,1
pharmaceuticals (phacs),1
bioaccumulation,1
macroporous resin,1
bio-solvent,1
azolla filiculoides,1
intervention,1
postpartum depression,1
social support,1
data envelopment analysis,1
meta-regression analysis,1
risk factors,1
carbohydrate-active enzymes,1
biomass degradation,1
"response surface methodology, solid recovery",1
materials structure,1
polymer,1
tissue regeneration,1
artificial,1
biomaterial,1
bone,1
calcium carbonate,1
manufacturing,1
materials in biotechnology,1
pharmaceutical manufacturing,1
tissue engineering,1
maternal health,1
childbearing,1
hydrogen peroxide,1
health risk,1
thiosulfate,1
yield,1
contamination,1
bacillusspp,1
species-level genome bins,1
bifidobacterium lactis probio-m8,1
women,1
whole-genome sequencing,1
xylanase and cellulase,1
complementary medicine,1
hyperglycaemia,1
hyperlipidaemia,1
hypertension,1
sacha inchi,1
mental health,1
prevalence,1
trichoderma asperellum usm sd4,1
psychological distress,1
essential amino acids,1
biological waste treatment,1
environmental chemical engineering,1
environmental engineering,1
palm oil mill effluents,1
gut health,1
pediatrics,1
respiratory illness,1
bifidobacterium longum subsp. infantis ylgb-1496,1
immunological effects,1
respiratory symptoms,1
gut-brain-axis,1
immunity,1
potential treatment,1
bifidobacterium infantis,1
short term travel,1
antibiotic resistant genes,1
niacinamide,1
topical drug delivery,1
net energy ratio,1
pretreatment,1
saccharification and fermentation,1
cellulose hydrolysis,1
heuristic algorithm,1
bifidobacterium longum subsp. infantis b8762,1
oral administration,1
immune homeostasis,1
technical efficiency,1
bioresource based product,1
chemical properties,1
physical properties,1
amaranthus spp.,1
aquaculture wastewater,1
biofertilizer,1
stochastic frontier analysis,1
surface,1
kapok fibres,1
hpv clearance,1
infant gut microbiota,1
mucosal immunity,1
cervical cancer cells,1
in vitro,1
probiotic properties,1
b. infantis,1
gastrointestinal symptoms,1
gut-vaginal axis,1
recovery,1
gold,1
energy forecast,1
intensified microbubbles,1
ziziphus spina-christi (l.),1
iron oxide nanoparticles,1
staphylococcusspp,1
aging,1
constipation,1
dairy foods,1
dairy-based lactic acid bacteria (lab),1
annatto powder,1
pumpkin powder,1
sensory characteristics,1
phytochemical compounds,1
magnetic,1
steaming,1
realistic geometry model,1
wind profile distribution,1
menara razak and residensi tower,1
wind directions,1
air filtration,1
insulation,1
far-red light,1
endogenous hormones,1
management,1
antioxidant capacity,1
injectable hydrogels,1
organic pollutants,1
hybrid modelling techniques,1
predictive analytics,1
quantile regression,1
transboundary haze,1
nano,1
soil,1
electrocoagulation,1
flocculation index,1
geopolymer,1
flocs,1
breeding waste compost,1
mineral elements,1
calcareous soil,1
fulvic acid,1
nutrient bioavailability,1
soil enzyme,1
biogas application,1
plant phytic acid,1
azadirachta indica,1
characters,1
food industry wastes,1
superhydrophobic,1
κ-carrageenan,1
experimental modal analysis (ema),1
deflection,1
eri,1
peat addition,1
solid organic wastes,1
bio-oil,1
catalytic co-pyrolysis,1
industrial solid waste,1
textile waste,1
bioaerogels,1
modification technique,1
oil spill,1
sorption,1
magnetic graphene oxide,1
magnetic nanoparticles (mnps),1
sample preparation,1
solid phase extraction,1
models,1
method,1
uv-protection,1
agarwood,1
cow dung compost,1
duck dung compost,1
goose dung compost,1
operational deflection shape (ods),1
computational fluid dynamic (cfd),1
pressure,1
velocity,1
thermoplastic starch,1
cellulose microfibrils,1
polyvinyl alcohol,1
characterization,1
re-bleaching,1
natural frequency,1
biopolymer film,1
circular economy principles,1
sustainable development goals (sdgs),1
active packaging film,1
bajakah tampala extract,1
stacking,1
kapok,1
multiple acid hydrolysis,1
antihyperglycemia,1
drug-likeness,1
heck coupling,1
para-carboxamidostilbene,1
corrosion inhibitor,1
electrochemical,1
mild steel,1
osteoblast cells,1
low crystallinity,1
bone remodeling,1
anti-hyperglycaemia,1
indole alkaloid,1
α-amylase,1
anti-bacillus,1
calophyllum,1
chromanone,1
cytotoxicity •,1
calophyllum lanigerum,1
chromanone acids,1
calcium phosphate,1
docking,1
waste frying oil,1
nanocrystalline cellulose,1
phosphoric acid,1
inelastic neutron scattering,1
mwcnt,1
non-covalent functionalization,1
p3ht,1
sensor,1
structural,1
bamboo nanocellulose,1
emerging applications,1
preparation,1
process,1
glass,1
polymer matrix composites,1
biopolymer aerogels,1
porose material,1
amino acids,1
discriminant analysis,1
skin gelatine,1
bamboo fibre,1
characterizations,1
coumarins,1
calophyllum recurvatum,1
calophyllum andersonii,1
metabolite profiling,1
biological activity,1
gold nanoparticles,1
adsorption capacity,1
bromocresol green dye,1
isotherms,1
isomers,1
mass spectrometry,1
molecular networking,1
bioflavonoids,1
polymeric hydrogel,1
bibliometrics,1
acacia mangium wood,1
spray drying,1
omics,1
quality control,1
standardization,1
flavonoid c-glycosides enriched extract,1
nanoemulgel,1
buildings,1
activation time,1
xanthones,1
porous β-tcp granules,1
2-benzylidene-1-indanone derivatives,1
network pharmacology,1
oxidative,1
passiflora edulis,1
passion fruit,1
accelerated solvent extraction (ase),1
extraction optimization,1
kratom,1
