Keyword,Total Citations
methylene blue,28
spent coffee,28
agriculture waste,28
bioadsorbent,28
activated carbon,28
rice husk,27
essential oil encapsulation,27
nanofluid,27
functional food,27
glucose yield,27
pyrolysis,27
separation,27
plastic,27
hydrogel,27
anthocyanins,27
circular economy,27
milk fortification,27
phenolic compound,27
pomegranate flower extract,27
biodegradable film,27
spray drying,27
emulsification,27
fish spoilage indicator,27
ph-responsive packaging,27
lactic acid bacteria (lab),26
natural antioxidant,26
gut microbiota,26
alkaline treatment,26
bead,26
bonding,26
short-chain fatty acids,26
wettability,26
sugar palm fibre,26
interfacial adhesion,26
modified sodium alginate,26
jujube alcohol extract,26
octenyl succinic anhydride,26
caffeine,25
protein digestibility,25
bpa,25
yttrium,25
zno,25
chicken meat,24
palm oil empty fruit bunch,24
fed-batch fermentation,24
burkholderia ambifaria strain e5-3,24
syzygium aromaticum,24
palm kernel shells,24
enzymatic,24
freeze–thaw,24
metabolomics,24
water resistant,24
inhibitor tolerance,24
immunomodulation,24
energy efficiency,24
spirulina,24
sodium metabisulfite,24
pseudomonas aeruginosa,24
microbial spoilage,24
plant bioactive compounds,24
gas chromatography,24
immersion coating,24
climate change,24
lipid oxidation,24
alginate biopolymer,23
bioenergy,23
jujube fruit,23
persian gum (insoluble part),23
pome,23
hormone,23
pharmaceuticals (phacs),23
fe-co–cu,23
inflammation,23
shelf-life extension,23
lignin,23
ganoderma neo-japonicum,23
phytochemicals,23
kinetics,23
thermal conductivity,23
traditional plants,22
lactobacillus,22
gene expression,22
salt-gelatinization,22
rice starch,22
cacl2,22
beef tallow,22
immunostimulation,22
marine,22
protein-based coatings,22
cao,22
lipid extraction,22
oil palm empty fruit bunch,22
mxene,22
drosophila melanogaster,22
immunosuppression,22
food packaging,22
magnetite,21
coats – redfern method,21
artemisia argyi extract,21
reduced graphene oxide,21
tga/dta,21
metal,21
sugarcane bagasse,21
lifespan,21
biosynthesis of polymers,21
mwcnts,21
autohydrolysis,21
functional constipation,21
desiccant paper,21
soda pulping,21
natural waste fiber,21
personalization,21
solvent-free,21
monoglycerides,21
biodiesel-derived crude glycerol,21
chemical composition,21
dehumidification,21
patchouli waste fiber,21
drug delivery,21
moisture absorption,21
polymeric material,21
lignin extraction,21
water kefir grains,20
non-woven bast,20
china,20
industrial and innovation,20
biocompatible,20
molecular docking,20
nutrient removal,20
sustainable energy source,20
skin care,20
sorbent,20
stress resistance,20
industrial waste management,20
cosmetic applications,20
waste marble powder,20
oxidation,20
technoeconomic analysis,20
green material,20
triethoxymethylsilane,20
biopolymer aerogels,20
porose material,20
knowledge-attitude-practice (kap) model,20
nano,19
mechanisms,19
sewage treatment plant,19
eichhornia crassipes,19
paraquat herbicide,19
thermal properties,19
soil,19
hospital wastewater,19
nanofiltration,19
melamine,19
pharmaceutical residue,19
hazards,19
food security,19
molasses,19
tertiary structure,19
blood purification,19
human health,19
nanoreinforcement,18
oil palm trunk,18
gas transport,18
permeability properties,18
tortuous path model,18
guided tissue regeneration (gtr),18
artificial intelligence,18
biomass feedstock,18
γ-aminobutyric acid (gaba),18
rsm,18
sustainable fuel,18
co-culture,18
bacteriocin-like inhibitory substances (blis),18
non-absorbable,18
absorbable,18
guided bone regeneration (gbr),18
biopolymer matrix,18
uv-protection,18
polyvinyl alcohol,18
bajakah tampala extract,18
active packaging film,18
toxin removal,18
empty fruit bunch fiber,18
membrane technology,18
hemodialysis,18
extracted lignin,18
artificial kidney,18
heat flux,18
refining,18
sandwich composite,18
green technology,18
permeability,18
human renal tubular epithelial cells,18
diabetic nephropathy,18
multidrug-resistant (mdr) bacteria,18
terpenes,18
nanofibers,18
efflux pump inhibitors,18
antibiofilm,18
fibrosis,18
staphylococcus aureus,18
terpenes delivery system,18
oxidative stress,18
hyperglycemia,18
waste generation,18
photocatalyst,18
wound healing properties,17
anticancer,17
hplc,17
kopsia teoi,17
quorum sensing,17
physicochemical evaluations,17
thorium extraction,17
environmental issues,17
and sustainable management,17
microbial load reduction,16
aspergillus niger,16
biodegradable,16
souss-massa mountainous basin,16
fractal,16
carboxyl groups,16
materials science engineering,16
chilli,16
aspergillus flavus,16
tremella polysaccharides,16
structural characterization,16
prospective applications,16
microencapsulation,16
extraction methods,16
meat,16
frozen burger preservation,16
intervention,16
essential oils,16
durian peel waste,16
postpartum depression,16
social support,16
childbearing,16
10-hydroxydecanoic acid,16
chicken manure,16
lignocellulose biomass,16
landfill leachate,16
consortia,16
cellulolytic ability,16
bacillus species,16
biological activities,16
plant extract nanoemulsions,16
groundwater,16
stress,16
health functionalities,16
kinetics & thermodynamics,16
royal jelly,16
sebacic acid,16
trans-10-hydroxy-2-decanoic acid,16
maternal health,16
oxidation stability,16
work-related musculoskeletal disorder,15
teaching professionals,15
occupational ergonomics,15
adult learners,15
chitin nanofiber,15
shelf-life,15
bioproduct,15
synthesis and processing techniques,15
cellulose and other wood products,15
chitin nanocrystal,15
composite,15
workplace safety and health,15
recycling,15
bio-nanocomposites,15
membrane bioreactor,15
superheated steam,15
shucking,15
muscle release,15
barrier properties,15
meat detachments,15
bio-binder,15
tropical oysters,15
seaweed films,15
rice husk silica nanoparticles,15
leachate treatment,14
bacterial-cellulose,14
4-d,14
phytoremediation,14
beris lalang,14
environmental sustainability,14
dumpsites,14
solid waste,14
oil palm biomass,14
catalyst,14
seaweed,14
algae,14
heavy metals contamination,14
algal immobilization,14
benzene,14
heavy metal removal,14
uv light,14
toluene,14
scenedesmussp,14
water treatment,14
carbofuran,14
batch and continuous modes,14
usage,14
metabolites,14
metabolic pathways,14
fate,14
phycoremediation agent,14
degradation,14
bionanocomposites,14
probiotic,13
hydrophilicity,13
mechanical strength,13
sustainable agriculture,13
modified biochar,13
4-dichlorophenoxyacetic acid,13
hybrid,13
structure properties,13
nano-biochar,13
water reuse,13
biochar functionalization,13
bioaccumulation,13
environmental pollutants,13
pathogenic bacteria,13
paddy,13
circular economic,13
translocation,13
microbial fuel cells,13
microbial fuel cell,12
penganum harmala,12
guar gum,12
α-amylase,12
cooking qualities,12
sampling,12
nano-tio2,12
mild steel,12
cellulose nanocrystal,12
hydrogel bead,12
simulated gastrointestinal condition,12
α-glucosidase inhibition,12
buildings,12
energy forecast,12
oil palm frond,12
palm oil mill effluent,12
pumpkin,12
instrumental analysis,12
corrosion inhibitor,12
crystallinity index,12
wound healing,12
casein,12
protein alteration,12
fatty acid,12
glutaric acid,12
water kefir,12
co-fermentation time,12
pretreatment optimization,12
blended bioplastic,12
carboxymethylation reaction,12
analysis,12
paddy production,12
sodium distribution,12
salt-coated yellow alkaline noodles,12
biomass alteration,12
electrochemical,12
microstructure,12
correlation model,12
toughness,12
river,12
active film,12
solid surfaces,12
electricity generation,12
biogas upgrading,12
h2 diffusion,12
hollow-fiber membranes,12
biomass gasification,12
municipal wastewater,12
pharmaceuticals,12
biohydrogen production,12
activation time,12
phosphoric acid,12
agricultural water management,12
environmental impact assessment,12
hydrochemical characterization,12
jujube (ziziphus jujuba) extract,12
water-energy nexus,12
energy,12
soy protein isolate,12
thermal processing,12
β-glucan,12
biomethanation,12
nanotechnology,12
biomethane production,12
climate,12
rheological properties,12
silver nanoparticles,12
farmers,12
groundwater sustainability,12
techno-economic challenges,12
process systems engineering assessment,12
adhesives,12
climate change impact,12
hydrogels,12
climate variability,12
compositional analysis,12
regenartive farming,12
food spoilage indicator,11
waste,11
gelatin film,11
flavonoid c-glycosides enriched extract,11
growth,11
fatty acids,11
stability,11
nanoemulgel,11
quality,11
lettuce,11
biomedical applications,11
interfacial tension,11
shrinkage,11
swelling capacity,11
characteristics,11
characterizations,11
keratin,11
materials structure,11
polymer,11
sustainable energy technologies,11
renewable resources,11
porose materials,11
retraction force,11
chemical interactions,11
materials chemistry,11
chemical mixture,11
tissue regeneration,11
waste valorization,11
palm mesocarp fiber,11
ph-sensitive indicator,11
biomolecules,11
bioengineering,11
gelatin,11
surfactant,11
benzo(a)pyrene,11
pea proteins,11
oil palm (elaeis guineensis jacq.) leaf,11
phenanthrene,11
oil palm management practices,10
earthworm abundance,10
soil quality rehabilitation,10
persian gum,10
ecological services,10
economic value,10
yeast,10
livestock integration strategies,10
acetic acid bacteria,10
mature coconut water,10
kefir grains,10
reversibility,10
manganese,10
flow battery,10
electrolyte engineering,10
deposition,10
phenolics,10
vegetable oil,10
functional coatings,10
calcium carbonate,10
bioflavonoid,10
fermented pumpkin,10
box–behnken design,10
scale-up,10
antibacterial activity,10
starch,10
silica nanoparticle,10
marble,10
kappa-carrageenan,10
insulation,10
lignin nanoparticles,10
biopolymer film,10
mechanical,10
plant phytic acid,10
precipitation,10
treatment,10
ethanol,10
far-red light,10
core-shell,10
endogenous hormones,10
magnetoelectric,10
electrospinning,10
desiccant,10
cockle shell,10
landsat-7,10
thermoplastic starch,10
κ-carrageenan,10
deep neural network,10
optimization strategies,10
manufacturing conditions,10
edible films,10
modis,10
commercialization,10
ndvi,10
enzymatic hydrolysis,10
calcium chloride,10
oil palm leaf,10
antioxidant capacity,10
packaging,9
mrsa,9
prebiotics,9
seaweed biomass,9
plant-based milk,9
emulsion,9
response surface methodology,9
gc-ms,9
e. alte,9
protein quality,9
polyhydroxybutyrate (phb),9
fruit drink,9
antimicrobial agents,9
healing,9
ecm remodeling,9
biomimetic 3d scaffolds,9
biochemical analysis,9
angiogenesis,9
advanced oxidation process,9
tmnps characterisation,9
fe–co–zn,9
fe–ni–zn,9
non-wood biomass,9
supercritical treatment,9
azelaic acid,9
isolation,9
cleaner approach,9
microbiology,9
kappaphycus alvarezii,9
biopolymer nanocomposites,9
barrier performance,9
hemicellulose,9
blend films,9
stacking,9
heuristic algorithm,9
cellulose hydrolysis,9
eremothecium coryli,9
hazelnut,9
nuts,9
protein,9
dissolving pulp,9
bionanocomposite film,9
edible film,9
extensibility,9
imitation cheese,9
stretchability,9
stringiness,9
scanning electron microscopy,9
heck coupling,9
nanoparticle,9
tyramine,8
hazard quotient,8
response surface method (rsm),8
biogas production,8
microemulsion,8
bibliometrics,8
green packaging,8
soy milk,8
climate risk,8
lulc,8
tempo-oxidation,8
regeneration,8
naoh/urea,8
bioplastic,8
anaerobic digestion (ad),8
terraclimate,8
adsorbent,8
histamine,8
p3ht,8
hazard index,8
hygroscopicity,8
dairy foods,8
constipation,8
aging,8
bacteriocins,8
potential treatment,8
tetraselmis suecica,8
oral administration,8
hpv clearance,8
gut-vaginal axis,8
nutrient supplementation,8
bioactivities,8
succinic acid,8
secondary metabolites,8
inelastic neutron scattering,8
structural,8
sensor,8
mwcnt,8
saccharification and fermentation,8
non-covalent functionalization,8
pretreatment,8
net energy ratio,8
dairy-based lactic acid bacteria (lab),8
papaya powder,8
black tea,8
superheated steam drying,8
6,8
6-tetramethylpiperidine-1-oxyl radical,8
bioresource based products,8
cellulose solubility,8
crystallinity,8
dissolution,8
hydroxyapatite,8
soil remediation,8
bioavailability,8
health benefits,8
lactoferrin,8
mechanisms of action,8
seashells,8
aqueous two-phase system,8
hap,8
antidiabetic,8
exopolysaccharides,8
ionic-liquid,8
indoor air quality,8
isolation process,8
quinoa proteins,8
natural therapeutic agent,8
mesoporous silica,8
immobilized pectinase,8
3d x-ray imaging,8
stabilizers,8
gellan gum,8
basil seed beverage,8
pectin,8
papaya juice,8
alginate beads,8
disulfiram,8
cellulose nanofibers,8
suspension stability,8
emulsion electrospinning,8
pullulan,8
tocotrienol,8
paraquat,8
injectable hydrogel,8
naltrexone,8
sustained release,8
zein,8
ni/ga-sba-15,7
nanoclay,7
green products,7
coumarin,7
health benefit,7
ni/al-sba-15,7
potato,7
photovoltaic thermal,7
anthropogenic activities,7
buildings application,7
high-insulation glass,7
delay ripening,7
semi-transparent,7
solar collectors,7
prebiotic,7
techno-economic analysis,7
children,7
and numerical modelling,7
hydrogeochemical models,7
hydrological and water quality models,7
water–rock interactions,7
abaca fiber,7
active coating,7
nitrocompounds,7
fiber reinforcement,7
chitosan coating,7
dyes,7
banana fruit,7
photocatalytic degradation,7
meta-regression analysis,6
nanostructure,6
nanomaterials,6
micro bio-based materials,6
environmental technology,6
energy application,6
bio-based materials,6
data envelopment analysis,6
stochastic frontier analysis,6
synthetic consortia,6
technical efficiency,6
sensory quality,6
zero waste,6
microbial bioconversion,6
bio-succinic acid,6
agricultural waste,6
pollution control technology,6
mozzarella cheese,6
cheese,6
microbial plastic degradation,6
biodiesel feedstock,6
algae cultivation,6
algae biomass,6
composition retention,6
structural integrity weakening,6
kapok fibre,6
biopolymers and renewable polymers,6
resins,6
marine macroalgae,6
thermosets,6
heterotrophic microbes,6
additives,6
sustainable,6
industrial revolution,6
food processing,6
food policy,6
dominant strains,6
bioresources,6
production technology,6
liquid phase,6
lipid productivity,6
bioceramic,6
salmonella,6
bacillus subtilis,6
ammonia reduction,6
anova,6
central composite design (ccd),6
response surface methodology (rsm),6
hybrid nanocomposites,6
mechanism,6
antimicrobial peptides,6
kinetics and thermodynamics,6
additive manufacturing,6
sodium carboxymethyl nanocellulose,6
chlamydomonas reinhardtii,6
metal oxide nanoparticles,6
chemical health risk assessment,6
chemical risk,6
ceramic coating,6
chra,6
organic pollutants,6
plastic pollution mitigation,6
freshwater,6
environmental health,6
baseline,6
lactiplantibacillus plantarum,6
food innovation,6
heavy metals,6
standardization,6
quality control,6
omics,6
polymeric hydrogel,6
bioflavonoids,6
iaq,6
ortho-carboxamidostilbene,6
geopolymer,6
thermochemical,6
water pollution,6
acceptable daily intake,6
stakeholder engagement,6
composite materials,6
updraft gasifier,6
bibliometric analysis,6
ultrasonic homogenizer,6
efficiency,6
socio-economic factors,6
social rights,6
maillard reaction,6
water and food security,6
wastewater irrigation,6
emerging contaminants,6
waste heat,6
rainfall,6
economic analysis,6
boiler,6
chia seed gum,6
5-hydroxymethyl-2-furfural,6
organic rankine cycle,6
co2 capturing,6
aquaculture,6
simulation,6
energy-saving,6
ultrasonic,6
saffron,6
homogenization,6
co-gasification,6
msw,6
natural disasters,6
ionic liquid-based aqueous two-phase system,6
willingness to participate,6
watershed management,6
collagen,6
meteorological parameters,6
cytotoxicity,6
wastewater treatment,6
environment,6
oral pathogen,6
food industry,6
corn steep liquor,6
inhibitory activity,6
bio-preservative,6
bacteriocin-like inhibitory substance,6
antimicrobial powder,6
land use land cover,6
strait of malacca,6
fruit juices,5
white rice,5
carbon sequestration,5
retrogradation,5
textile waste,5
palm oil,5
agarwood,5
lactic acid,5
cooking oil treatment,5
re-bleaching,5
characterization,5
streptococcus mutans,5
enterocin cc2,5
cellulose microfibrils,5
sewage sludge,5
pollution,5
kaffir lime,5
soil biodiversity,5
respiratory tract infections,5
salmon,5
calophyllum lanigerum,5
chromanone acids,5
xanthones,5
coconut oil,5
wetland plants,5
natural polymer,5
roles,5
smart farming,5
isomers,5
mass spectrometry,5
molecular networking,5
water remediation,5
textural,5
mitragynine,5
bioresource-based products,5
kratom,5
extraction optimization,5
accelerated solvent extraction (ase),5
food industry wastes,5
life cycle assessment,5
bioplastics,5
postbiotics,5
in-vitro,5
coating,5
binder,5
composite matrix,5
fuel briquette,5
root and tuber based starches,5
biobutanol,5
anti-hyperglycaemia,5
industrial solid waste,5
industrial wastewater,5
agrochemical,5
antibiotic resistance genes (args),5
alkaline cellulase,5
greenhouse gases (ghgs),5
microplastic,5
eco-cities design and planning,5
energy-efficient lighting systems,5
energy-efficient systems,5
low carbon buildings,5
sustainable hvac,5
thermal energy-efficient systems,5
urban geography and urbanism,5
d2ehpa,5
strip dispersion,5
banana,5
transport rate,5
pomes,5
depression,5
drugs,5
functional enrichment analysis,5
herbal medicines,5
terpenoids,5
photofunctional materials,5
triterpenoid saponins,5
ciprofloxacin,5
biobr,5
circularity,5
biosolids,5
mango,5
environmental pollutions,5
enzyme-like activity,5
catalytic co-pyrolysis,5
weight,5
soil compaction,5
indole alkaloid,5
macroalgae,5
leaf litter weight,5
conservation,5
abundance,5
saccharification,5
surface modification,5
polyunsaturated fatty acids,5
logistic growth model,5
bauxite mining,5
enzyme,5
beach sediments,5
alkaliphilic cellulolytic fungi,5
tidal zones,5
strawberry preservation,5
polysaccharide stabilization,5
bio-oil,5
dicalcium phosphate dihydrate,4
sorbic acid,4
β-tcp scaffold,4
preservation,4
bone remodelling,4
refrigerated salmon,4
extrusion,4
cytochrome p450 (cyp61),4
tapioca powder,4
gluten-free,4
t-2 toxin degradation,4
sorghum bread,4
microbial consortium,4
metagenomic analysis,4
tragacanth,4
cancer,4
sustainable food processing,4
synergy,4
oat processing advancements,4
industrial feasibility,4
banana peel,4
functional properties,4
biogas power plant,4
pineapple jam,4
ultrasound,4
sulfated polysaccharide,4
texture-modified food,4
nutraceutical,4
thorium extraction methods,4
rare earth elements,4
microcapsule,4
policies,4
nuf and wlp residue,4
environmental challenges,4
extracted residue,4
advanced glycation end products,4
gelatine,4
free radical,4
natural iron,4
microparticle,4
patchouli,4
polycyclic aromatic hydrocarbons,4
bioactive ingredient,4
tropical soil,4
hematite,4
characterisation,4
texture profile analysis,4
microbial transglutaminase enzymes,4
gel microparticles,4
extreme rainfall,4
sanitizing,4
rambutan leaf extract,4
hydrothermal carbonization,4
receptors,4
immunological disorders,4
baff,4
vitamin d3,4
magnesium starch nanomaterial,4
controlled release,4
april,4
fish gelatine,4
slow-release fertilizers,4
nutrient delivery,4
composite aerogels,4
omi/aura,4
western ghats,4
spatial pattern,4
monsoon,4
erosional dynamics,4
gel strength,4
hard capsule,4
molecular forces,4
stacking sequence,4
anaerobic digestate,4
syneresis,4
water activity,4
kinetic study,4
oil palm fruits,4
scco2 extraction,4
thermodynamic modelling,4
virgin palm oil,4
stiffness,4
carbonization,4
molecular weight,4
woven carbon fibre,4
woven bamboo fibre,4
toxic waste,4
scenedesmus parvus,4
mutagenicity,4
functionality,4
bromocresol green dye,4
adsorption capacity,4
acacia mangium wood,4
cocoa rind,4
moisture,4
natural deep eutectic solvents,4
texture,4
tilapia,4
iron based catalyst,4
mapping knowledge domains,4
clostridium,4
oregano essential oil,4
fruit rot disease,4
fruit quality,4
curvularia sp,4
pyrene,4
ultrasonic-assisted extraction,4
theobroma cocoa l,4
urban air quality,4
prediction model,4
neural network,4
market value,4
future prospects,4
eco-friendly materials,4
bamboo fiber,4
citric acid,4
5-hydroxymethylfurfural,4
source apportionment,4
tropical climate,4
livelihood strategies,4
biogas valorization,4
acetyl groups,4
langmuir equilibrium model,4
chemo-mechanical pretreatment,4
resilience,4
inclusion complex,4
nanocomposite,4
kneading technique,4
adsorption efficiency,4
pretreatment sequence,4
small-scale fisheries,4
complementary medicine,4
hyperglycaemia,4
hyperlipidaemia,4
hypertension,4
sacha inchi,4
volatile compounds,4
ternary blend,4
bifidobacterium lactis probio-m8,4
species-level genome bins,4
type ii methanotrophs,4
realistic geometry model,4
membraneless microbial fuel cell,4
canopy layer,4
simple two-step enrichment,4
oil palm sap,4
patchouli lignin,4
degree of substitution,4
acetylation,4
wind tunnel experiment,4
fungal,4
soil organic carbon,4
soil carbon sequestration,4
regenerative farming,4
oil-palm plantations,4
vaginal microbiota,4
hpv-positive women,4
toddlers,4
livelihood assets,4
coastal reclamation,4
wind profile distribution,4
natural resources,4
nutrient,4
integrated weed management,4
bacterial,4
reactive dyes,4
tissue engineering,4
surface-modified tapioca starches,4
boron oxide,4
co-precipitation technique,4
zinc oxide,4
integrated crop-livestock,4
germanium oxide,4
docking,3
antihyperglycemia,3
succinic anhydride,3
adhesion,3
diuron,3
tannin,3
mangrove,3
drug-likeness,3
ultra-violet curable resin,3
para-carboxamidostilbene,3
gene delivery,3
itaconic anhydride,3
dewatered sludge,3
refined bleached deodorised palm oil,3
gas chromatography-flame ionisation detector,3
fatty acids diagnostic ratio,3
adulteration,3
chemometrics,3
phbv biocomposites,3
biodegradable packaging,3
bismuth ferrite,3
photocatalytic performance,3
reusability,3
methane,3
anhydride ratio,3
blend,3
palm shell lignin,3
copper tannate,3
alkaline peroxide,3
delamination,3
dioxydanyl radical,3
efb,3
nano-functional,3
anti-inflammatory,3
microbiological quality,3
bast fiber,3
quechers,3
antifouling,3
multiple acid hydrolysis,3
non-woody biomass,3
reaction optimisation,3
water ecosystem,3
safe water access,3
marine water quality,3
land use,3
forecaster model,3
materials characterization,3
cow bone,3
wheat,3
sensory properties,3
physical,3
randomized controlled trial,3
ethylene glycol,3
magnesium oxide,3
nanofluids,3
curdlan,3
particles size,3
morphology,3
structural applications,3
canned dodol,3
nanocrystalline cellulose,3
proton exchange membrane,3
uvi,3
sulfonated polysulfone,3
principal factor analysis,3
heavy metal concentrations,3
groundwater pollution,3
cluster analysis,3
and pearson correlation coefficient,3
shrimp,3
mesoporous biochar,3
orthogonal array design,3
neonicotinoid pesticides,3
lc-ms/ms,3
in-situ pumping test,3
aquifer stability and characteristics,3
pumping well yield,3
kapok,3
ultrafiltration,3
polysulfone,3
mixed matric membrane,3
copper,3
women,3
immunity,3
gut-brain-axis,3
contaminated water,3
plastic waste,3
live hard coral coverage,3
air filtration,3
monte carlo,3
particulate matter,3
reefs,3
atmosphere–ocean interaction,3
atmospheric co2 concentration,3
orthogonal test,3
product development,3
sweet osmanthus,3
landfill gas,3
rho gtpases,3
emission rate,3
co2 flux,3
monsoon variability,3
landgem,3
robot simtion,3
circular arcs,3
mobile robot,3
quantity,3
coastal waters,3
in vitro antioxidant,3
coral-affecting physicochemical factors,3
computational technology,3
marine microplastics,3
peninsular malaysia,3
south china sea,3
surface roughness,3
kinetic model,3
crayfish,3
azelaic acid (aza),3
synergism,3
sodium bisulphite,3
glutaric acid (gla),3
preservative,3
succinic acid (sua),3
functional beverage,3
meta-analysis,3
sustainable resources,3
structure–activity relationships,3
remote sensing,3
motion planning,3
differential drive,3
nanofungicides,3
drug pollution,3
colistin,3
injectable hydrogels,3
phacs,3
algae-derived peptides,3
methacrylic acid,3
nanofertilizers,3
nano-antimicrobials,3
environmental pollution,3
antimicrobial innovation,3
pharmacologically active compounds,3
dental caries,3
microemulsion formulation,3
fermented okara,3
antifungal activity,3
antimicrobial resistance,3
calcofluor white,3
candida auris,3
candidemia,3
drug delivery system,3
storage period,3
wound-healing phases,3
nanoparticles,3
wound matrix,3
wound dressing,3
environmental impact,3
skin layers,3
flour composite,3
conventional wound dressing,3
bioactive functionalities,3
active wound dressing,3
catalytic decarboxylation reaction,2
pyridoxal 5′-phosphate,2
food coating,2
theoretical calculation,2
film-based technology,2
microplastic removal,2
natural rubber latex band,2
native biopolymers,2
biopolymer compatibility,2
microcapsules,2
lactobacillus plantarum,2
science curriculum,2
capsules and beads,2
environmental education,2
frying oils,2
ginkgo biloba leaves flavonoids,2
amino acid,2
synbiotics,2
tetraselmis chuii,2
environmental bioprocess,2
malaysian,2
willingness to consume,2
visible light photocatalysis,2
films,2
fermented rice noodles,2
quality attributes,2
saccharomyces cerevisiae,2
yeast fermentation,2
nano-zno/tio2 photocatalyst,2
methyl orange degradation,2
limestone,2
fe3+ doped nano-zno/tio2 composite,2
process,2
preparation,2
emerging applications,2
bamboo nanocellulose,2
human papillomavirus,2
calcination method,2
materials application,2
electrochemical performance,2
migratory locust,2
bone regeneration,2
bioreactor,2
composites,2
bioprocess,2
light transmittance,2
konjac,2
composite hydrophobic nanocoating,2
antracol,2
anthracnose,2
san/abs/pc,2
sem,2
rheology,2
support vector machine,2
k-fold cross-validation,2
gamma,2
cost,2
food neophobia scale,2
insect phobia scale,2
tempo,2
bpei,2
absorption,2
marine-derived,2
pharmaceutical applications,2
cot,2
food waste,2
hydrochar addition,2
co-solvency,2
caryota urens oil methyl ethyl esters,2
caryota urens oil,2
total solids content,2
swine manure,2
sub-thermophilic,2
b. infantis,2
briquette,2
compound,2
biotechnology,2
forest biomass,2
fuel,2
fuel-blending,2
